"Table with row headers in column A and column headers in rows 4, 5 and 6. ",,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16. State Resident Population by Age and Sex: 2010,,,,,,,,,,,,,,,,,,,,,,,,,,
"[2000, 2010 as of April; 2005, 2008 and 2009 as of July. In thousands, except as indicated (76,094 represents 76,094,000). Includes Armed Forces stationed in area. ANSI=American National Standards Institute]",,,,,,,,,,,,,,,,,,,,,,,,,,
State,"2010, April",,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age,Under 18 years old,18 years and over,65 years and over,,,Percent under 18 years old,Percent 65 years old and over
,,,,,,,,,,,,,,,,,,,,,,Total,Male,Female,,
Hawaii ,"1,360",681,679,87,83,82,86,96,130,185,176,194,176,93,82,101,64,30,38.6,304,"1,056",195,86,109,22.3,14.3
Idaho ,"1,568",785,782,122,121,117,115,108,154,209,192,209,180,97,83,110,60,25,34.6,429,"1,139",195,90,105,27.4,12.4
Illinois ,"12,831","6,292","6,538",836,859,879,922,879,"1,246","1,776","1,726","1,871","1,473",808,665,850,525,235,36.6,"3,129","9,701","1,609",677,932,24.4,12.5
Indiana ,"6,484","3,190","3,294",434,445,452,476,452,650,827,841,947,769,419,351,452,274,115,37.0,"1,608","4,876",841,358,483,24.8,13.0
Iowa ,"3,046","1,508","1,538",202,201,201,217,213,306,383,365,440,373,204,168,225,154,75,38.1,728,"2,318",453,193,260,23.9,14.9
Kansas ,"2,853","1,415","1,438",205,202,199,204,204,288,378,347,406,331,183,149,190,126,59,36.0,727,"2,126",376,162,214,25.5,13.2
Kentucky ,"4,339","2,135","2,204",282,283,284,297,290,413,566,577,643,539,288,251,325,184,69,38.1,"1,023","3,316",578,248,330,23.6,13.3
Louisiana ,"4,533","2,219","2,314",314,306,307,327,338,475,628,565,654,536,293,243,312,180,66,35.8,"1,118","3,415",558,237,321,24.7,12.3
Maine ,"1,328",650,678,70,74,79,88,80,116,145,171,219,192,102,90,113,69,29,42.7,275,"1,054",211,92,119,20.7,15.9
Maryland ,"5,774","2,792","2,982",364,367,379,406,394,557,762,796,902,696,378,318,386,223,98,38.0,"1,353","4,421",708,300,408,23.4,12.3
Massachusetts ,"6,548","3,167","3,381",367,386,406,463,476,678,845,887,"1,012",803,433,371,456,301,145,39.1,"1,419","5,129",903,376,526,21.7,13.8
Michigan ,"9,884","4,848","5,036",596,638,675,740,669,974,"1,164","1,278","1,510","1,252",683,569,725,445,192,38.9,"2,344","7,540","1,362",587,774,23.7,13.8
